Date,Year,Month,Recession,Consumer_Confidence,Seasonality_Weight,Price,Advertising_Expenditure,Competition,GDP,Growth_Rate,unemployment_rate,Automobile_Sales,Vehicle_Type,City
1/31/1980,1980,Jan,1,108.24,0.5,27483.571,1558,7,60.223,0.01,5.4,456.0,Supperminicar,Georgia
2/29/1980,1980,Feb,1,98.75,0.75,24308.678,3048,4,45.986,-0.309594224,4.8,555.9,Supperminicar,New York
3/31/1980,1980,Mar,1,107.48,0.2,28238.443,3137,3,35.141,-0.30861387,3.4,620.0,Mediumfamilycar,New York
4/30/1980,1980,Apr,1,115.01,1.0,32615.149,1653,7,45.673,0.230595757,4.2,702.8,Supperminicar,Illinois
5/31/1980,1980,May,1,98.72,0.2,23829.233,1319,4,52.997,0.138196502,5.3,770.4,Smallfamiliycar,California
6/30/1980,1980,Jun,1,105.55,0.75,23829.315,2573,5,20.298,-1.610946891,2.9,754.5,Mediumfamilycar,Illinois
7/31/1980,1980,Jul,1,82.45,0.5,32896.064,2828,3,34.585,0.413098164,2.9,729.6,Supperminicar,Illinois
8/31/1980,1980,Aug,1,98.76,0.25,28837.174,2917,3,55.65,0.378526505,3.0,734.9,Supperminicar,New York
9/30/1980,1980,Sep,1,87.68,0.07,22652.628,1138,3,33.308,-0.670769785,5.2,705.6,Smallfamiliycar,California
10/31/1980,1980,Oct,1,101.45,0.0,27712.8,4582,5,42.522,0.216687832,4.4,609.7,Smallfamiliycar,New York
11/30/1980,1980,Nov,1,102.36,0.07,22682.912,4939,5,43.301,0.017990347,2.6,763.0,Mediumfamilycar,California
12/31/1980,1980,Dec,1,102.33,0.25,22671.351,3892,6,23.539,-0.839542886,3.3,745.0,Mediumfamilycar,New York
1/31/1981,1981,Jan,1,95.2,0.5,26209.811,3026,8,32.25,0.270108527,5.9,325.0,Supperminicar,Illinois
2/28/1981,1981,Feb,1,122.98,0.75,15433.599,3306,9,30.891,-0.043993396,5.8,574.3,Mediumfamilycar,California
3/31/1981,1981,Mar,1,87.32,0.2,16375.411,4744,4,15.784,-0.957108464,4.4,654.0,Smallfamiliycar,Georgia
4/30/1981,1981,Apr,1,86.71,1.0,22188.562,1901,6,15.685,-0.006311763,2.8,657.1,Supperminicar,California
5/31/1981,1981,May,1,116.55,0.2,19935.844,1689,4,55.253,0.716124011,4.1,752.9,Mediumfamilycar,California
6/30/1981,1981,Jun,1,92.96,0.75,26571.237,3039,9,27.88,-0.981814921,4.3,677.6,Smallfamiliycar,California
7/31/1981,1981,Jul,1,90.55,0.5,20459.88,1009,8,39.886,0.301007872,5.6,638.2,Smallfamiliycar,New York
8/31/1981,1981,Aug,1,123.03,0.25,17938.481,1260,5,29.138,-0.368865399,3.7,779.5,Supperminicar,New York
9/30/1981,1981,Sep,1,109.86,0.07,32328.244,2942,8,60.593,0.51911937,3.1,574.2,Smallfamiliycar,Illinois
10/31/1981,1981,Oct,1,94.06,0.0,23871.118,2673,5,27.206,-1.227192531,4.7,648.1,Smallfamiliycar,Illinois
11/30/1981,1981,Nov,1,102.18,0.07,25337.641,3219,9,35.553,0.23477625,3.3,558.0,Mediumfamilycar,Georgia
12/31/1981,1981,Dec,1,119.46,0.25,17876.259,3945,8,57.264,0.379138726,2.6,762.0,Supperminicar,California
1/31/1982,1982,Jan,1,106.92,0.5,22278.086,3060,6,55.755,-0.027064837,5.3,466.0,Smallfamiliycar,New York
2/28/1982,1982,Feb,1,112.86,0.75,25554.613,2191,7,23.619,-1.360599517,4.2,614.4,Smallfamiliycar,Illinois
3/31/1982,1982,Mar,1,108.05,0.2,19245.032,4713,6,53.83,0.561229798,5.0,751.4,Mediumfamilycar,New York
4/30/1982,1982,Apr,1,,1.0,26878.49,2619,4,36.951,-0.456794133,3.2,617.3,Mediumfamilycar,California
5/31/1982,1982,May,1,100.4,0.2,21996.807,1320,6,38.165,0.031809249,4.0,763.9,Mediumfamilycar,Illinois
6/30/1982,1982,Jun,1,100.11,0.75,23541.531,2342,9,21.041,-0.813839646,3.8,726.7,Mediumfamilycar,New York
7/31/1982,1982,Jul,1,102.67,0.5,21991.467,2636,3,18.449,-0.14049542,3.2,738.8,Mediumfamilycar,Illinois
8/31/1982,1982,Aug,1,107.34,0.25,34261.391,3376,4,50.169,0.632262951,4.6,552.3,Smallfamiliycar,California
9/30/1982,1982,Sep,1,97.17,0.07,24932.514,3832,8,38.827,-0.292116311,2.8,776.2,Smallfamiliycar,Georgia
10/31/1982,1982,Oct,1,101.22,0.0,19711.445,3824,4,35.906,-0.081351306,4.1,720.2,Mediumfamilycar,New York
11/30/1982,1982,Nov,1,96.9,0.07,29112.725,2994,7,50.246,0.285395852,5.4,102.0,Sports,Georgia
12/31/1982,1982,Dec,1,101.16,0.25,18895.782,3958,5,52.01,0.033916555,3.6,744.6,Mediumfamilycar,Georgia
1/31/1983,1983,Jan,1,87.49,0.5,26044.318,2943,8,22.287,-1.333647418,3.2,589.0,Smallfamiliycar,Illinois
2/28/1990,1990,Feb,1,93.69,0.75,20453.063,1477,3,44.401,0.498051846,4.9,754.8,Supperminicar,Georgia
3/31/1990,1990,Mar,1,109.07,0.2,32013.972,2254,9,21.132,-1.101126254,3.0,574.7,Smallfamiliycar,California
4/30/1990,1990,Apr,1,100.36,1.0,17990.745,1922,5,51.317,0.588206637,2.8,714.8,Mediumfamilycar,New York
5/31/1990,1990,May,1,118.65,0.2,27934.285,1419,3,46.691,-0.09907691,5.0,676.1,Smallfamiliycar,California
6/30/1990,1990,Jun,1,108.2,0.75,35952.278,3204,5,61.374,0.239238114,2.6,570.9,Smallfamiliycar,New York
7/31/1990,1990,Jul,1,111.04,0.5,20047.318,3597,7,17.879,-2.432742323,5.5,605.3,Mediumfamilycar,New York
8/31/1990,1990,Aug,1,101.33,0.25,22168.511,4512,3,17.296,-0.033707216,5.3,550.9,Smallfamiliycar,Georgia
9/30/1990,1990,Sep,1,101.57,0.07,25498.257,2120,6,28.327,0.389416458,5.4,659.1,Mediumfamilycar,California
10/31/1990,1990,Oct,1,117.31,0.0,22482.622,4068,8,27.324,-0.036707656,2.9,619.4,Smallfamiliycar,California
11/30/1990,1990,Nov,1,96.22,0.07,17246.683,4044,8,26.602,-0.027140816,3.7,689.8,Smallfamiliycar,Illinois
12/31/1990,1990,Dec,1,105.47,0.25,25342.815,4482,5,58.906,0.548399144,5.5,723.0,Smallfamiliycar,California
1/31/1991,1991,Jan,1,97.34,0.5,19688.481,1950,9,26.728,-1.203906016,4.5,619.1,Mediumfamilycar,Illinois
2/28/1991,1991,Feb,1,97.31,0.75,27367.962,3336,6,27.826,0.039459498,3.8,724.1,Supperminicar,California
3/31/1991,1991,Mar,1,88.31,0.2,20402.879,2277,3,51.711,0.461893988,5.7,559.4,Supperminicar,New York
4/30/1991,1991,Apr,1,92.57,1.0,32749.672,3243,6,36.537,-0.415305033,2.9,564.0,Executivecar,New York
5/31/1991,1991,May,1,90.72,0.2,21083.734,3645,6,52.559,0.304838372,3.2,750.0,Supperminicar,New York
6/30/1991,1991,Jun,1,105.94,0.75,23389.692,2857,9,17.703,-1.968931819,4.2,706.3,Mediumfamilycar,Georgia
7/31/1991,1991,Jul,1,110.4,0.5,29067.586,4593,3,38.391,0.538876299,2.6,688.6,Mediumfamilycar,Illinois
8/31/1991,1991,Aug,1,99.05,0.25,18845.678,1516,7,16.147,-1.377593361,4.5,759.5,Smallfamiliycar,New York
